,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0261634,430.525731,-9.091841239,2.587566107,-3.5136653,0.000441969,0.007801716
FBgn0031805,102.304081,2.749199479,0.782860822,3.511734654,0.000445192,0.007834536
FBgn0039215,1175.308334,1.354351946,0.385859016,3.509965787,0.000448164,0.007871845
FBgn0010039,4190.259907,3.456367382,0.985043764,3.508846518,0.000450055,0.007887517
FBgn0045980,63.49208589,3.191981386,0.909804001,3.50842751,0.000450764,0.007887517
FBgn0004003,300.2799613,2.460024022,0.701595038,3.506330417,0.000454331,0.007934901
FBgn0035094,35.79087005,-1.061850664,0.303252269,-3.50154236,0.000462573,0.008063615
FBgn0036341,328.8700723,-1.544873874,0.441845537,-3.49641163,0.000471561,0.0082048
FBgn0264693,4121.129506,-0.421021938,0.120567135,-3.492012468,0.000479396,0.008325448
FBgn0011224,907.892644,-1.853639338,0.531315362,-3.488774219,0.000485241,0.008396196
FBgn0033153,337.7704889,-2.103623211,0.602973564,-3.488748658,0.000485287,0.008396196
FBgn0031244,119.8501994,-1.836036643,0.526357945,-3.48819023,0.000486302,0.008398026
FBgn0036520,19.80186765,-4.133587314,1.185386698,-3.487121392,0.00048825,0.008415931
FBgn0032723,331.7610815,-2.130599179,0.611292991,-3.485397688,0.000491406,0.008451219
FBgn0030276,2768.212659,-0.673199208,0.193170184,-3.485005782,0.000492126,0.008451219
FBgn0022960,367.5578921,-0.987190332,0.283372886,-3.483714856,0.000494506,0.008476329
FBgn0033949,200.2858263,2.775643915,0.797796565,3.479137462,0.00050303,0.008606479
FBgn0002774,568.3647547,-0.497650273,0.143124308,-3.477049289,0.000506965,0.008657756
FBgn0039801,118.0600122,3.235710572,0.931267382,3.47452368,0.000511761,0.008723545
FBgn0037016,806.4638852,-2.228006986,0.641560769,-3.47279181,0.000515075,0.008747749
FBgn0050089,184.3528106,-2.612231111,0.752128308,-3.473118991,0.000514447,0.008747749
FBgn0039924,555.2405293,-0.713391286,0.205475755,-3.471900056,0.000516789,0.008759133
FBgn0011726,3792.886081,-0.800983968,0.230734195,-3.471457564,0.000517641,0.008759133
FBgn0033942,331.6752569,-3.271516233,0.942564969,-3.470865499,0.000518784,0.008762419
FBgn0259715,414.7229528,4.210036175,1.213912449,3.468154707,0.000524046,0.008821666
